Electricity:Facility,InteriorEquipment:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4
636315.3952,189159.2757,19620.09228,8.882960649,26.66420251,66.30790771,284.5905765,31,11.93918194,10.55360155,0.550501296,0.000354144
632076.86,199840.5786,18212.42858,912.8228674,23.04596774,77.16319444,219.8065636,31,11.93918194,10.55360155,0.550501296,0.000354144
572575.3126,185639.5786,15292.24632,5319.037272,20.35770833,84.16527778,153.3049769,30,11.93918194,10.55360155,0.550501296,0.000354144
484425.3214,192214.5683,14057.92679,34569.22432,12.89782706,75.73711918,157.4538157,31,11.93918194,10.55360155,0.550501296,0.000354144
436020.1937,184881.866,12854.51546,58208.94892,9.760949074,74.10636574,128.5277006,30,11.93918194,10.55360155,0.550501296,0.000354144
424302.9184,189159.2757,13309.86759,103829.9338,5.489852151,75.55857975,140.3433766,31,11.93918194,10.55360155,0.550501296,0.000354144
400020.9134,211485.2823,14447.1372,276795.9594,-2.113575269,70.30320341,156.7973417,31,9.090225935,11.84667137,0.573576532,0.000261157
372992.9233,195352.2587,11390.84433,139655.8797,1.942956349,62.61458333,188.2471892,28,9.090225935,11.84667137,0.573576532,0.000261157
427142.7441,224325.8521,13061.57954,89064.54722,5.43313172,62.39908154,197.9807721,31,9.090225935,11.84667137,0.573576532,0.000261157
442511.727,208384.8883,11981.80237,34751.93419,12.56460648,68.95763889,135.3763503,30,9.090225935,11.84667137,0.573576532,0.000261157
535097.8392,220045.6621,14308.99025,9641.590755,17.91901882,74.3156362,192.3388217,31,9.090225935,11.84667137,0.573576532,0.000261157
568897.6971,216094.7176,16141.29199,499.37844,22.21377315,69.30104167,225.3063657,30,9.090225935,11.84667137,0.573576532,0.000261157
620467.0794,212335.8328,18516.63114,4.78609408,26.66420251,66.30790771,284.5905765,31,9.090225935,11.84667137,0.573576532,0.000261157
614189.278,224325.8521,17151.93162,761.6443767,23.04596774,77.16319444,219.8065636,31,9.090225935,11.84667137,0.573576532,0.000261157
