Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3
417426.8242,5.489852151,75.55857975,140.3433766,31,12.81624624,9.708950846,0.636255893
396246.7123,-2.113575269,70.30320341,156.7973417,31,12.0132458,9.540514286,0.499702745
369449.0501,1.942956349,62.61458333,188.2471892,28,12.0132458,9.540514286,0.499702745
423882.7835,5.43313172,62.39908154,197.9807721,31,12.0132458,9.540514286,0.499702745
439057.8069,12.56460648,68.95763889,135.3763503,30,12.0132458,9.540514286,0.499702745
531754.4266,17.91901882,74.3156362,192.3388217,31,12.0132458,9.540514286,0.499702745
566592.1066,22.21377315,69.30104167,225.3063657,30,12.0132458,9.540514286,0.499702745
615195.3254,26.66420251,66.30790771,284.5905765,31,12.0132458,9.540514286,0.499702745
611113.7901,23.04596774,77.16319444,219.8065636,31,12.0132458,9.540514286,0.499702745
553615.5391,20.35770833,84.16527778,153.3049769,30,12.0132458,9.540514286,0.499702745
467220.4728,12.89782706,75.73711918,157.4538157,31,12.0132458,9.540514286,0.499702745
419863.9344,9.760949074,74.10636574,128.5277006,30,12.0132458,9.540514286,0.499702745
407999.7587,5.489852151,75.55857975,140.3433766,31,12.0132458,9.540514286,0.499702745
356752.8327,-2.113575269,70.30320341,156.7973417,31,9.148381472,9.228881199,0.486011739
332069.5283,1.942956349,62.61458333,188.2471892,28,9.148381472,9.228881199,0.486011739
379535.7447,5.43313172,62.39908154,197.9807721,31,9.148381472,9.228881199,0.486011739
395742.1996,12.56460648,68.95763889,135.3763503,30,9.148381472,9.228881199,0.486011739
481287.3087,17.91901882,74.3156362,192.3388217,31,9.148381472,9.228881199,0.486011739
514123.8735,22.21377315,69.30104167,225.3063657,30,9.148381472,9.228881199,0.486011739
562915.249,26.66420251,66.30790771,284.5905765,31,9.148381472,9.228881199,0.486011739
554443.7555,23.04596774,77.16319444,219.8065636,31,9.148381472,9.228881199,0.486011739
503031.209,20.35770833,84.16527778,153.3049769,30,9.148381472,9.228881199,0.486011739
422089.7629,12.89782706,75.73711918,157.4538157,31,9.148381472,9.228881199,0.486011739
378397.3406,9.760949074,74.10636574,128.5277006,30,9.148381472,9.228881199,0.486011739
367136.1011,5.489852151,75.55857975,140.3433766,31,9.148381472,9.228881199,0.486011739
402699.6845,-2.113575269,70.30320341,156.7973417,31,10.51092311,11.18328859,0.706156189
375767.005,1.942956349,62.61458333,188.2471892,28,10.51092311,11.18328859,0.706156189
430657.0425,5.43313172,62.39908154,197.9807721,31,10.51092311,11.18328859,0.706156189
445517.7164,12.56460648,68.95763889,135.3763503,30,10.51092311,11.18328859,0.706156189
537589.8907,17.91901882,74.3156362,192.3388217,31,10.51092311,11.18328859,0.706156189
572117.6905,22.21377315,69.30104167,225.3063657,30,10.51092311,11.18328859,0.706156189
621939.8845,26.66420251,66.30790771,284.5905765,31,10.51092311,11.18328859,0.706156189
617178.2785,23.04596774,77.16319444,219.8065636,31,10.51092311,11.18328859,0.706156189
559328.646,20.35770833,84.16527778,153.3049769,30,10.51092311,11.18328859,0.706156189
473186.1717,12.89782706,75.73711918,157.4538157,31,10.51092311,11.18328859,0.706156189
426081.3633,9.760949074,74.10636574,128.5277006,30,10.51092311,11.18328859,0.706156189
414999.2113,5.489852151,75.55857975,140.3433766,31,10.51092311,11.18328859,0.706156189
432642.5984,-2.113575269,70.30320341,156.7973417,31,12.17399235,11.71269017,0.66071701
404225.156,1.942956349,62.61458333,188.2471892,28,12.17399235,11.71269017,0.66071701
464159.1253,5.43313172,62.39908154,197.9807721,31,12.17399235,11.71269017,0.66071701
478404.8762,12.56460648,68.95763889,135.3763503,30,12.17399235,11.71269017,0.66071701
575898.1715,17.91901882,74.3156362,192.3388217,31,12.17399235,11.71269017,0.66071701
612477.1959,22.21377315,69.30104167,225.3063657,30,12.17399235,11.71269017,0.66071701
663032.5923,26.66420251,66.30790771,284.5905765,31,12.17399235,11.71269017,0.66071701
660801.1579,23.04596774,77.16319444,219.8065636,31,12.17399235,11.71269017,0.66071701
598519.6072,20.35770833,84.16527778,153.3049769,30,12.17399235,11.71269017,0.66071701
507731.2916,12.89782706,75.73711918,157.4538157,31,12.17399235,11.71269017,0.66071701
457626.1242,9.760949074,74.10636574,128.5277006,30,12.17399235,11.71269017,0.66071701
445933.4674,5.489852151,75.55857975,140.3433766,31,12.17399235,11.71269017,0.66071701
400884.4782,-2.113575269,70.30320341,156.7973417,31,12.49087838,9.788376077,0.724922794
374537.2817,1.942956349,62.61458333,188.2471892,28,12.49087838,9.788376077,0.724922794
429944.3841,5.43313172,62.39908154,197.9807721,31,12.49087838,9.788376077,0.724922794
444229.9935,12.56460648,68.95763889,135.3763503,30,12.49087838,9.788376077,0.724922794
