Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4
642083.2648,23.04596774,77.16319444,219.8065636,31,11.58854912,11.42452209,0.687387893,0.000284472
581786.0008,20.35770833,84.16527778,153.3049769,30,11.58854912,11.42452209,0.687387893,0.000284472
493180.1083,12.89782706,75.73711918,157.4538157,31,11.58854912,11.42452209,0.687387893,0.000284472
444373.1314,9.760949074,74.10636574,128.5277006,30,11.58854912,11.42452209,0.687387893,0.000284472
432852.0172,5.489852151,75.55857975,140.3433766,31,11.58854912,11.42452209,0.687387893,0.000284472
424354.94,-2.113575269,70.30320341,156.7973417,31,11.4638062,11.56385621,0.535704155,0.000264652
396179.1354,1.942956349,62.61458333,188.2471892,28,11.4638062,11.56385621,0.535704155,0.000264652
454840.504,5.43313172,62.39908154,197.9807721,31,11.4638062,11.56385621,0.535704155,0.000264652
469626.777,12.56460648,68.95763889,135.3763503,30,11.4638062,11.56385621,0.535704155,0.000264652
566308.517,17.91901882,74.3156362,192.3388217,31,11.4638062,11.56385621,0.535704155,0.000264652
602719.2215,22.21377315,69.30104167,225.3063657,30,11.4638062,11.56385621,0.535704155,0.000264652
653882.5408,26.66420251,66.30790771,284.5905765,31,11.4638062,11.56385621,0.535704155,0.000264652
650441.2012,23.04596774,77.16319444,219.8065636,31,11.4638062,11.56385621,0.535704155,0.000264652
589112.9491,20.35770833,84.16527778,153.3049769,30,11.4638062,11.56385621,0.535704155,0.000264652
499432.7124,12.89782706,75.73711918,157.4538157,31,11.4638062,11.56385621,0.535704155,0.000264652
449508.2162,9.760949074,74.10636574,128.5277006,30,11.4638062,11.56385621,0.535704155,0.000264652
437510.9971,5.489852151,75.55857975,140.3433766,31,11.4638062,11.56385621,0.535704155,0.000264652
371332.596,-2.113575269,70.30320341,156.7973417,31,9.966139032,9.635724597,0.571694346,0.000307575
345971.7804,1.942956349,62.61458333,188.2471892,28,9.966139032,9.635724597,0.571694346,0.000307575
396012.3321,5.43313172,62.39908154,197.9807721,31,9.966139032,9.635724597,0.571694346,0.000307575
411656.2901,12.56460648,68.95763889,135.3763503,30,9.966139032,9.635724597,0.571694346,0.000307575
