Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5
496697.3601,17.91901882,74.3156362,192.3388217,31,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
531240.9269,22.21377315,69.30104167,225.3063657,30,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
581405.3303,26.66420251,66.30790771,284.5905765,31,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
573798.7978,23.04596774,77.16319444,219.8065636,31,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
519873.0604,20.35770833,84.16527778,153.3049769,30,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
434134.7291,12.89782706,75.73711918,157.4538157,31,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
388682.6546,9.760949074,74.10636574,128.5277006,30,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
376884.8499,5.489852151,75.55857975,140.3433766,31,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
352464.2982,-2.113575269,70.30320341,156.7973417,31,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
328465.1531,1.942956349,62.61458333,188.2471892,28,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
375809.6871,5.43313172,62.39908154,197.9807721,31,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
389530.838,12.56460648,68.95763889,135.3763503,30,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
471015.3201,17.91901882,74.3156362,192.3388217,31,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
500647.1515,22.21377315,69.30104167,225.3063657,30,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
545291.5608,26.66420251,66.30790771,284.5905765,31,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
539215.2232,23.04596774,77.16319444,219.8065636,31,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
489733.824,20.35770833,84.16527778,153.3049769,30,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
414990.0632,12.89782706,75.73711918,157.4538157,31,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
373503.7709,9.760949074,74.10636574,128.5277006,30,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
363182.9231,5.489852151,75.55857975,140.3433766,31,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
395351.8278,-2.113575269,70.30320341,156.7973417,31,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
368457.8749,1.942956349,62.61458333,188.2471892,28,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
422397.4017,5.43313172,62.39908154,197.9807721,31,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
435174.9407,12.56460648,68.95763889,135.3763503,30,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
522930.813,17.91901882,74.3156362,192.3388217,31,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
554776.9471,22.21377315,69.30104167,225.3063657,30,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
600845.6558,26.66420251,66.30790771,284.5905765,31,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
597126.2012,23.04596774,77.16319444,219.8065636,31,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
541577.0622,20.35770833,84.16527778,153.3049769,30,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
462426.1941,12.89782706,75.73711918,157.4538157,31,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
417302.0513,9.760949074,74.10636574,128.5277006,30,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
406716.1414,5.489852151,75.55857975,140.3433766,31,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
396125.5377,-2.113575269,70.30320341,156.7973417,31,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
369041.0403,1.942956349,62.61458333,188.2471892,28,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
