Electricity:Facility,InteriorEquipment:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5
539215.2232,173223.9841,13335.2254,1046.415779,23.04596774,77.16319444,219.8065636,31,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
489733.824,160914.403,11205.40799,6059.885983,20.35770833,84.16527778,153.3049769,30,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
414990.0632,166613.6755,10453.78809,38559.77135,12.89782706,75.73711918,157.4538157,31,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
373503.7709,160257.6095,9673.472051,64830.54036,9.760949074,74.10636574,128.5277006,30,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
363182.9231,163965.3147,10026.87512,118081.5426,5.489852151,75.55857975,140.3433766,31,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
395351.8278,184554.948,14021.46616,306919.4708,-2.113575269,70.30320341,156.7973417,31,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
368457.8749,170476.2883,10523.09464,152993.7234,1.942956349,62.61458333,188.2471892,28,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
422397.4017,195760.4119,11883.56073,97740.49325,5.43313172,62.39908154,197.9807721,31,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
435174.9407,181849.3552,10839.70802,39254.73917,12.56460648,68.95763889,135.3763503,30,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
522930.813,192025.2573,12779.66252,11222.10084,17.91901882,74.3156362,192.3388217,31,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
554776.9471,188577.4222,14338.16532,664.7166744,22.21377315,69.30104167,225.3063657,30,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
600845.6558,185297.1903,16482.97394,8.782565916,26.66420251,66.30790771,284.5905765,31,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
597126.2012,195760.4119,15238.41335,940.307933,23.04596774,77.16319444,219.8065636,31,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
541577.0622,181849.3552,12789.28467,5507.904497,20.35770833,84.16527778,153.3049769,30,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
462426.1941,188290.1027,11788.51188,35801.7571,12.89782706,75.73711918,157.4538157,31,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
417302.0513,181107.113,10823.11559,60324.27249,9.760949074,74.10636574,128.5277006,30,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
406716.1414,185297.1903,11198.53926,108260.1784,5.489852151,75.55857975,140.3433766,31,11.03228302,10.33812753,0.636787419,0.000342156,5.968683408
396125.5377,194009.3246,13948.84256,299907.9904,-2.113575269,70.30320341,156.7973417,31,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
369041.0403,179209.4436,10554.2094,149361.9411,1.942956349,62.61458333,188.2471892,28,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
422827.404,205788.8218,11969.83579,95392.07434,5.43313172,62.39908154,197.9807721,31,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
