Electricity:Facility,InteriorLights:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5,tc6
426351.1508,131678.5595,11135.04437,116488.5645,5.489852151,75.55857975,140.3433766,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
366204.2076,119498.4087,14943.43444,307000.4073,-2.113575269,70.30320341,156.7973417,31,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
341951.0041,112991.5399,11390.30826,159399.6798,1.942956349,62.61458333,188.2471892,28,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
391313.2443,133889.5128,12585.348,100968.5983,5.43313172,62.39908154,197.9807721,31,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
414030.1922,120400.8212,11423.11113,40399.67482,12.56460648,68.95763889,135.3763503,30,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
511628.707,129092.4781,13328.7671,11757.84996,17.91901882,74.3156362,192.3388217,31,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
552547.3461,128522.5334,14905.62008,724.053777,22.21377315,69.30104167,225.3063657,30,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
612319.5275,120970.7659,17242.73377,8.867464704,26.66420251,66.30790771,284.5905765,31,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
599175.2064,133889.5128,15821.23924,1007.624869,23.04596774,77.16319444,219.8065636,31,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
541596.8416,120400.8212,13295.57552,5771.835702,20.35770833,84.16527778,153.3049769,30,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
441019.2413,124295.4434,12388.35231,36601.7776,12.89782706,75.73711918,157.4538157,31,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
391867.3937,118928.464,11458.113,61424.97346,9.760949074,74.10636574,128.5277006,30,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
378516.9998,120970.7659,11881.3738,110519.3584,5.489852151,75.55857975,140.3433766,31,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
405553.2741,148073.0544,13461.78952,254074.6017,-2.113575269,70.30320341,156.7973417,31,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
