Electricity:Facility,InteriorEquipment:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3
384205.3219,204676.7569,10732.51768,137324.243,1.942956349,62.61458333,188.2471892,28,9.320165912,12.4121333,0.621491246
440129.4514,235033.3096,12302.45104,87424.39094,5.43313172,62.39908154,197.9807721,31,9.320165912,12.4121333,0.621491246
455249.0119,218331.4563,11319.10026,34191.80503,12.56460648,68.95763889,135.3763503,30,9.320165912,12.4121333,0.621491246
549303.0126,230548.8189,13551.53489,9447.88281,17.91901882,74.3156362,192.3388217,31,9.320165912,12.4121333,0.621491246
583640.9351,226409.2889,15306.98933,495.4463256,22.21377315,69.30104167,225.3063657,30,9.320165912,12.4121333,0.621491246
636427.7101,222470.9862,17522.9714,5.080915178,26.66420251,66.30790771,284.5905765,31,9.320165912,12.4121333,0.621491246
629897.8692,235033.3096,16272.89299,727.8230848,23.04596774,77.16319444,219.8065636,31,9.320165912,12.4121333,0.621491246
570899.7593,218331.4563,13600.53756,4520.023019,20.35770833,84.16527778,153.3049769,30,9.320165912,12.4121333,0.621491246
483970.5923,226064.3281,12417.35339,31570.52679,12.89782706,75.73711918,157.4538157,31,9.320165912,12.4121333,0.621491246
435768.7127,217440.3075,11213.57779,53208.40234,9.760949074,74.10636574,128.5277006,30,9.320165912,12.4121333,0.621491246
424613.6242,222470.9862,11604.90024,97758.69971,5.489852151,75.55857975,140.3433766,31,9.320165912,12.4121333,0.621491246
366817.1503,168895.0318,12576.7605,323818.5751,-2.113575269,70.30320341,156.7973417,31,10.0482589,9.460913385,0.67705849
342066.1031,156010.9791,9485.379223,165601.2415,1.942956349,62.61458333,188.2471892,28,10.0482589,9.460913385,0.67705849
391637.5015,179149.6861,10662.98441,106180.6141,5.43313172,62.39908154,197.9807721,31,10.0482589,9.460913385,0.67705849
406918.8008,166419.0149,9679.93397,42060.5112,12.56460648,68.95763889,135.3763503,30,10.0482589,9.460913385,0.67705849
493445.388,175731.468,11321.64084,12146.46661,17.91901882,74.3156362,192.3388217,31,10.0482589,9.460913385,0.67705849
525970.0297,172576.1897,12684.57171,733.6356278,22.21377315,69.30104167,225.3063657,30,10.0482589,9.460913385,0.67705849
574341.2308,169574.2931,14666.405,9.417144462,26.66420251,66.30790771,284.5905765,31,10.0482589,9.460913385,0.67705849
567218.839,179149.6861,13460.56353,1029.368989,23.04596774,77.16319444,219.8065636,31,10.0482589,9.460913385,0.67705849
514635.1548,166419.0149,11307.21681,5972.36194,20.35770833,84.16527778,153.3049769,30,10.0482589,9.460913385,0.67705849
433135.2207,172313.2499,10508.67822,38184.49919,12.89782706,75.73711918,157.4538157,31,10.0482589,9.460913385,0.67705849
389007.4783,165739.7536,9711.496008,64216.32475,9.760949074,74.10636574,128.5277006,30,10.0482589,9.460913385,0.67705849
378052.6113,169574.2931,10060.89228,116153.8921,5.489852151,75.55857975,140.3433766,31,10.0482589,9.460913385,0.67705849
392754.2875,177171.1063,13535.24258,300318.4526,-2.113575269,70.30320341,156.7973417,31,11.48548393,9.924510351,0.651162996
366499.4307,163655.7184,10242.53151,149742.1564,1.942956349,62.61458333,188.2471892,28,11.48548393,9.924510351,0.651162996
420353.4782,187928.2519,11621.70786,96027.2357,5.43313172,62.39908154,197.9807721,31,11.48548393,9.924510351,0.651162996
435026.5934,174573.7614,10590.86409,38705.49899,12.56460648,68.95763889,135.3763503,30,11.48548393,9.924510351,0.651162996
